No,;Time;;Time 1;Time 2;Delay ;;Delay 1;Delay 2;Jitter
93;0,728197;;0,728197;0,72833;0,000133;;7,8E-05;5,5E-05;-2,3E-05
94;0,72833;;0,72833;0,728385;5,5E-05;;7E-06;4,8E-05;4,1E-05
95;0,728385;;0,728385;0,728433;4,8E-05;;0;4,8E-05;4,8E-05
96;0,728433;;0,728433;0,728481;4,8E-05;;-0,000323;0,000371;0,000694
97;0,728481;;0,728481;0,728852;0,000371;;-0,001991;0,002362;0,004353
98;0,728852;;0,728852;0,731214;0,002362;;-0,015596;0,017958;0,033554
99;0,731214;;0,731214;0,749172;0,017958;;0,00246;0,015498;0,013038
100;0,749172;;0,749172;0,76467;0,015498;;-0,047261;0,062759;0,11002
101;0,76467;;0,76467;0,827429;0,062759;;0,054939;0,00782;-0,047119
102;0,827429;;0,827429;0,835249;0,00782;;0,00782;0;-0,00782
103;0,835249;;0,835249;0,835249;0;;0;0;0
104;0,835249;;0,835249;0,835249;0;;-0,000702;0,000702;0,001404
105;0,835249;;0,835249;0,835951;0,000702;;-0,014891;0,015593;0,030484
106;0,835951;;0,835951;0,851544;0,015593;;0,015593;0;-0,015593
107;0,851544;;0,851544;0,851544;0;;0;0;0
108;0,851544;;0,851544;0,851544;0;;-0,000748;0,000748;0,001496
109;0,851544;;0,851544;0,852292;0,000748;;-0,004126;0,004874;0,009
110;0,852292;;0,852292;0,857166;0,004874;;0,004874;0;-0,004874
111;0,857166;;0,857166;0,857166;0;;0;0;0
112;0,857166;;0,857166;0,857166;0;;-0,015471;0,015471;0,030942
113;0,857166;;0,857166;0,872637;0,015471;;0,012339;0,003132;-0,009207
114;0,872637;;0,872637;0,875769;0,003132;;0,003132;0;-0,003132
115;0,875769;;0,875769;0,875769;0;;0;0;0
116;0,875769;;0,875769;0,875769;0;;-0,013021;0,013021;0,026042
117;0,875769;;0,875769;0,88879;0,013021;;0,012943;7,8E-05;-0,012865
118;0,88879;;0,88879;0,888868;7,8E-05;;7,8E-05;0;-7,8E-05
119;0,888868;;0,888868;0,888868;0;;0;0;0
120;0,888868;;0,888868;0,888868;0;;0;0;0
121;0,888868;;0,888868;0,888868;0;;-0,015919;0,015919;0,031838
122;0,888868;;0,888868;0,904787;0,015919;;0,004062;0,011857;0,007795
123;0,904787;;0,904787;0,916644;0,011857;;0,011634;0,000223;-0,011411
124;0,916644;;0,916644;0,916867;0,000223;;-0,0007;0,000923;0,001623
125;0,916867;;0,916867;0,91779;0,000923;;-0,012242;0,013165;0,025407
126;0,91779;;0,91779;0,930955;0,013165;;0,011235;0,00193;-0,009305
127;0,930955;;0,930955;0,932885;0,00193;;0,00193;0;-0,00193
128;0,932885;;0,932885;0,932885;0;;0;0;0
129;0,932885;;0,932885;0,932885;0;;-0,018197;0,018197;0,036394
130;0,932885;;0,932885;0,951082;0,018197;;0,002167;0,01603;0,013863
131;0,951082;;0,951082;0,967112;0,01603;;-8,8E-05;0,016118;0,016206
132;0,967112;;0,967112;0,98323;0,016118;;0,01608;3,8E-05;-0,016042
133;0,98323;;0,98323;0,983268;3,8E-05;;3,8E-05;0;-3,8E-05
134;0,983268;;0,983268;0,983268;0;;0;0;0
135;0,983268;;0,983268;0,983268;0;;0;0;0
136;0,983268;;0,983268;0,983268;0;;0;0;0
137;0,983268;;0,983268;0,983268;0;;0;0;0
138;0,983268;;0,983268;0,983268;0;;0;0;0
139;0,983268;;0,983268;0,983268;0;;-0,014997;0,014997;0,029994
140;0,983268;;0,983268;0,998265;0,014997;;0,014997;0;-0,014997
141;0,998265;;0,998265;0,998265;0;;0;0;0
142;0,998265;;0,998265;0,998265;0;;-0,000173;0,000173;0,000346
143;0,998265;;0,998265;0,998438;0,000173;;-0,003916;0,004089;0,008005
144;0,998438;;0,998438;1,002527;0,004089;;0,004013;7,6E-05;-0,003937
145;1,002527;;1,002527;1,002603;7,6E-05;;-0,002974;0,00305;0,006024
146;1,002603;;1,002603;1,005653;0,00305;;-0,036479;0,039529;0,076008
147;1,005653;;1,005653;1,045182;0,039529;;0,026243;0,013286;-0,012957
148;1,045182;;1,045182;1,058468;0,013286;;-0,004669;0,017955;0,022624
149;1,058468;;1,058468;1,076423;0,017955;;-0,008252;0,026207;0,034459
150;1,076423;;1,076423;1,102630;0,026207;;0,026207;0;-0,026207
151;1,102630;;1,102630;1,102630;0;;0;0;0
152;1,102630;;1,102630;1,102630;0;;0;0;0
153;1,102630;;1,102630;1,102630;0;;0;0;0
154;1,102630;;1,102630;1,102630;0;;0;0;0
155;1,102630;;1,102630;1,102630;0;;0;0;0
156;1,102630;;1,102630;1,102630;0;;0;0;0
157;1,102630;;1,102630;1,102630;0;;0;0;0
158;1,102630;;1,102630;1,102630;0;;0;0;0
